qgis_prospect_layer,qgis_prospect_feature_id,qgis_layer,#_of_intersections,qgis_feature_id,ACTION_DTT,CIRCUIT1,CIRCUIT2,GDO_GID,OBJECTID_12,OPERATING_,ROUTE_ASSE,STATUS,Towers_In,class,endNode,fictitious,fid,formOfWay,function,identifier,length,loop,name1,name1_lang,name2,name2_lang,nameTOID,numberTOID,primary_,roadNumber,startNode,trunkRoad,bua22cd,bua22nm,bua22nmw
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,15088,,,,,15088,,,,,Unclassified,F0D79489-C08E-46CE-AA97-5B7A485C9DC7,false,15088,Single Carriageway,Local Road,5F8F402B-D07B-4A29-8905-E7F47CA7207F,47.0,false,Cae Ffynnon,,,,osgb4000000012565598,,false,,D45B04EA-0A37-4D5D-842B-59303AAE9CEF,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,15080,,,,,15080,,,,,Classified Unnumbered,6777A4C3-5179-4124-8A17-CB204BB67063,false,15080,Single Carriageway,Minor Road,DBB5E2C2-0CE1-403F-B0E9-E01F224676B8,86.0,false,,,,,,,false,,20FDD428-B92B-4D90-B6A2-CCC94781F1B0,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,15285,,,,,15285,,,,,Classified Unnumbered,BC9DF183-40D6-405C-9D5A-91924F381E49,false,15285,Single Carriageway,Minor Road,A1BB7E3B-F04E-4E65-85EF-6D3204E9D6BB,523.0,false,Lon Ganol,,,,osgb4000000012565502,,false,,7BDEE258-2E3A-4F81-B393-2E5AC3FC2E8F,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,15283,,,,,15283,,,,,A Road,C33BA0BE-49CF-490B-812D-173BD45C8786,false,15283,Single Carriageway,A Road,1AB237B6-8780-4BA6-A697-23C379E429FC,1716.0,false,Ffordd Beaumaris,cym,Beaumaris Road,eng,osgb4000000012507627,osgb4000000012511570,false,A545,0F2C68EE-FE5E-4747-B171-9CACD552635B,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,15024,,,,,15024,,,,,Classified Unnumbered,BACFCE7B-F7FF-45A1-BF42-F60DBE942E0A,false,15024,Single Carriageway,Minor Road,D51D09D4-E9C7-48FD-A63F-E67296B52CE8,902.0,false,,,,,,,false,,BA42C691-A8A5-4C9E-B1FB-747476A1B201,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,15037,,,,,15037,,,,,Unknown,945059EC-506D-4677-83A0-0BAFD16A41A2,false,15037,Single Carriageway,Restricted Local Access Road,B9ED9531-CBFA-4A39-B948-EC1E5A86B0BF,173.0,false,,,,,,,false,,BA42C691-A8A5-4C9E-B1FB-747476A1B201,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,19846,,,,,19846,,,,,Unknown,4FED59A9-9250-4569-955A-0612DF0EB4A8,false,19846,Single Carriageway,Restricted Local Access Road,55B2D748-BFBA-42C1-BB32-7768028FE95D,887.0,false,,,,,,,false,,3DD288CF-2AB3-45D1-88B7-0EC78D29AF2F,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,15027,,,,,15027,,,,,Classified Unnumbered,C72313EE-C52D-4D33-A5BD-B0B80D7F08BA,false,15027,Single Carriageway,Minor Road,25AFF12D-7C61-48BA-9333-8CB66EB25890,510.0,false,,,,,,,false,,4DB9563E-0BAD-44C2-9F14-E76434CC72DC,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,19852,,,,,19852,,,,,Classified Unnumbered,7D25A4CC-EC68-453D-BFC3-84341703155F,false,19852,Single Carriageway,Minor Road,64AEF79B-2151-4BA9-8493-FA530ED0701C,1463.0,false,,,,,,,false,,E34B10E6-9A6D-4FC0-9C2B-9DC288EE9E82,false,,,
prospect_layer,1,AC6 Roads — ac6_test__featureclasstofeatureclass_infrastructure_roadlink,1,19858,,,,,19858,,,,,B Road,062065A7-05B5-4B9F-AE69-1F093C50ACF0,false,19858,Single Carriageway,B Road,F7435172-F475-4866-BC54-B7D563BD5E6F,980.0,false,,,,,,osgb4000000012519460,false,B5109,7334A5A7-51BA-412A-BEB2-9347F0A63A46,false,,,
